@relation 'regressione-weka.filters.unsupervised.attribute.Reorder-R2-last,1'

@attribute shares numeric
@attribute sentiment numeric
@attribute latitude numeric
@attribute longitude numeric
@attribute fromUser {aa,ab,ac,ba,bb,bc,ca,cb,cc,a,b,c}
@attribute tk_aa numeric
@attribute tk_ab numeric
@attribute tk_ac numeric
@attribute tk_b numeric
@attribute tk_c numeric
@attribute tk_a numeric
@attribute tk_ba numeric
@attribute tk_bb numeric
@attribute tk_bc numeric
@attribute tk_ca numeric
@attribute tk_cb numeric
@attribute tk_cc numeric
@attribute tg_ba numeric
@attribute tg_bb numeric
@attribute tg_bc numeric
@attribute tg_ca numeric
@attribute tg_cb numeric
@attribute tg_cc numeric
@attribute tg_b numeric
@attribute tg_c numeric
@attribute tg_a numeric
@attribute tg_ac numeric
@attribute tg_aa numeric
@attribute tg_ab numeric
@attribute language {en}
@attribute predictedClass {training_regressione_class_pd,training_regressione_class_m5s}
@attribute favs numeric

@data
8,0.123888,0.257033,0.310299,b,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,en,training_regressione_class_m5s,11
4,0.075056,0.488292,0.619789,ac,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,en,training_regressione_class_pd,6
15,0.854954,0.688247,0.944688,ba,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,en,training_regressione_class_pd,4
12,0.946878,0.670855,0.052842,b,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,en,training_regressione_class_m5s,14
17,0.868264,0.837197,0.556621,ac,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,en,training_regressione_class_m5s,11
13,0.541907,0.509767,0.409631,a,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,en,training_regressione_class_m5s,15
19,0.470946,0.858911,0.941248,c,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,en,training_regressione_class_m5s,9
6,0.283631,0.390108,0.78163,bc,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,en,training_regressione_class_pd,13
13,0.874042,0.973256,0.935958,bb,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,en,training_regressione_class_m5s,17
12,0.411309,0.9631,0.163416,ac,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,en,training_regressione_class_m5s,17
9,0.24302,0.118006,0.301468,cb,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,en,training_regressione_class_pd,18
15,0.487229,0.150737,0.471652,ac,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,en,training_regressione_class_pd,19
9,0.665756,0.388201,0.358814,ca,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,en,training_regressione_class_m5s,4
12,0.915467,0.272737,0.622271,b,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,en,training_regressione_class_pd,5
10,0.830811,0.465535,0.0021,b,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,en,training_regressione_class_m5s,1
7,0.687841,0.327233,0.85232,ca,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,en,training_regressione_class_m5s,1
2,0.207112,0.254383,0.888727,c,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,en,training_regressione_class_pd,14
5,0.301862,0.141095,0.498702,c,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,en,training_regressione_class_pd,7
16,0.59302,0.174335,0.787494,ac,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,en,training_regressione_class_pd,16
12,0.746904,0.390832,0.099891,cc,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,en,training_regressione_class_pd,2
10,0.713647,0.39824,0.013569,bb,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,en,training_regressione_class_m5s,3
11,0.975287,0.660031,0.025469,ac,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,en,training_regressione_class_m5s,7
9,0.994911,0.458406,0.700274,b,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,en,training_regressione_class_pd,12
